Severity	Code	Description	Project	File	Line	Suppression State
Warning (active)	CS8618	Non-nullable property 'FullName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\User.cs	18	
Warning (active)	CS8618	Non-nullable property 'Role' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\User.cs	21	
Warning (active)	CS8618	Non-nullable property 'Phone' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\User.cs	23	
Warning (active)	CS8618	Non-nullable property 'Email' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\User.cs	25	
Warning (active)	CS8618	Non-nullable property 'ServiceProvider' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ServiceLocator.cs	8	
Warning (active)	CS8618	Non-nullable field '_timer' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\AlertService.cs	20	
Warning (active)	CS8618	Non-nullable property 'Line' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\IAlertService.cs	19	
Warning (active)	CS8618	Non-nullable property 'Message' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\IAlertService.cs	20	
Warning (active)	CS8618	Non-nullable property 'AlertType' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\IAlertService.cs	21	
Warning (active)	CS8618	Non-nullable property 'PhoneNumber' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ImportService.cs	201	
Warning (active)	CS8618	Non-nullable property 'SerialNumber' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ImportService.cs	202	
Warning (active)	CS8618	Non-nullable property 'WalletId' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ImportService.cs	203	
Warning (active)	CS8618	Non-nullable property 'Notes' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ImportService.cs	204	
Warning (active)	CS8618	Non-nullable field '_availableLines' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\AssignViewModel.cs	28	
Warning (active)	CS8618	Non-nullable field '_workers' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\AssignViewModel.cs	28	
Warning (active)	CS8618	Non-nullable field '_assignments' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\AssignViewModel.cs	28	
Warning (active)	CS8618	Non-nullable field '_selectedLine' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\AssignViewModel.cs	28	
Warning (active)	CS8618	Non-nullable field '_selectedWorker' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\AssignViewModel.cs	28	
Warning (active)	CS8618	Non-nullable field '_selectedAssignment' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\AssignViewModel.cs	28	
Warning (active)	CS8618	Non-nullable field '_assignmentNotes' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\AssignViewModel.cs	28	
Warning (active)	CS8618	Non-nullable field '_auditTrails' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\AuditTrailViewModel.cs	31	
Warning (active)	CS8618	Non-nullable field '_selectedAudit' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\AuditTrailViewModel.cs	31	
Warning (active)	CS8618	Non-nullable field '_searchEntity' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\AuditTrailViewModel.cs	31	
Warning (active)	CS8618	Non-nullable field '_searchAction' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\AuditTrailViewModel.cs	31	
Warning (active)	CS8618	Non-nullable field '_categories' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\CategoriesViewModel.cs	32	
Warning (active)	CS8618	Non-nullable field '_operators' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\CategoriesViewModel.cs	32	
Warning (active)	CS8618	Non-nullable field '_selectedCategory' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\CategoriesViewModel.cs	32	
Warning (active)	CS8618	Non-nullable field '_categoryName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\CategoriesViewModel.cs	32	
Warning (active)	CS8618	Non-nullable field '_categoryNotes' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\CategoriesViewModel.cs	32	
Warning (active)	CS8618	Non-nullable field '_lines' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\LinesViewModel.cs	34	
Warning (active)	CS8618	Non-nullable field '_categories' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\LinesViewModel.cs	34	
Warning (active)	CS8618	Non-nullable field '_operators' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\LinesViewModel.cs	34	
Warning (active)	CS8618	Non-nullable field '_selectedLine' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\LinesViewModel.cs	34	
Warning (active)	CS8618	Non-nullable field '_searchText' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\LinesViewModel.cs	34	
Warning (active)	CS8618	Non-nullable field '_phoneNumber' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\LinesViewModel.cs	34	
Warning (active)	CS8618	Non-nullable field '_serialNumber' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\LinesViewModel.cs	34	
Warning (active)	CS8618	Non-nullable field '_walletId' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\LinesViewModel.cs	34	
Warning (active)	CS8618	Non-nullable field '_notes' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\LinesViewModel.cs	34	
Warning (active)	CS8618	Non-nullable field '_operators' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\MainViewModel.cs	32	
Warning (active)	CS8618	Non-nullable property 'Name' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\OperatorViewModel.cs	10	
Warning (active)	CS8618	Non-nullable property 'ColorHex' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\OperatorViewModel.cs	11	
Warning (active)	CS8618	Non-nullable property 'Categories' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\OperatorViewModel.cs	12	
Warning (active)	CS8618	Non-nullable field '_operators' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\ReportsViewModel.cs	37	
Warning (active)	CS8618	Non-nullable field '_categories' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\ReportsViewModel.cs	37	
Warning (active)	CS8618	Non-nullable field '_reportResult' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\ReportsViewModel.cs	37	
Warning (active)	CS8618	Non-nullable field '_alerts' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\ReportsViewModel.cs	37	
Warning (active)	CS8618	Non-nullable field '_availableBackups' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\SettingsViewModel.cs	28	
Warning (active)	CS8618	Non-nullable field '_selectedBackup' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\SettingsViewModel.cs	28	
Warning (active)	CS8618	Non-nullable field '_lastBackupPath' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\SettingsViewModel.cs	28	
Warning (active)	CS8618	Non-nullable event 'PropertyChanged' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the event as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\ViewModelBase.cs	9	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Commands\AsyncRelayCommand.cs	20	
